Table name,Field name,Data type,Decimal digits,Field size,Column start,Column end,Description,Codes,Changes,Hand book section,Notes
SOILHORIZON,HORIZON_TEXTURE,character,,4,30,33,Soil horizon - Hand determined texture,texture,,7.6,
SOILHORIZON,TEXTURE_MODIFIER,character,,4,35,38,Soil horizon - Soil texture modifier or the estimated %-rock fragment content by volume,textmod,,7.6,
SOILHORIZON,EFFERVESCENCE_CLASS,character,,2,40,41,Soil horizon - Effervescence class,effervescence,,7.6,
SOILHORIZON,UNUSUAL_FEATURES,character,,250,43,292,Soil horizon - Any unusual features,,,7.6,
STATENM,STATE,numeric,,2,1,2,Numerical FIPS state code,,,,
STATENM,STABBR,character,,2,4,5,Two letter state postal abbreviation (capitalized),,,,
DISTURBANCE,LARGER_MAMMALS,character,NA,2,42,43,,,,,
DISTURBANCE,LIVESTOCK_TANKS_PIPELINES,character,,2,69,70,,,,,
DISTURBANCE,MACHINERY,character,,2,87,88,,,,,
DISTURBANCE,FENCES,character,,2,102,103,,,,,
DISTURBANCE,OIL_FIELD_EQUIPMENT,character,,2,105,106,,,,,
ECOSITE,SEQNUM,numeric,,2,25,26,,,,,
ECOSITE,COVERAGE,character,,4,28,31,,,,,
ECOSITE,START_MARK,numeric,,3,33,35,,,,,
ECOSITE,END_MARK,numeric,,3,37,39,,,,,
ECOSITE,ECO_SITE_STATE,character,,2,41,42,,,,,
ECOSITE,ECO_SITE_MLRA,character,,4,44,47,,,,,
ECOSITE,ECO_SITE_LRU,character,,4,49,52,,,,,
ECOSITE,ECO_SITE_NAME,character,,88,54,141,,,,,
POINT,ESD_FITS_SOIL,character,,8,158,165,,,,,
POINT,ACTIVE_CUTTING,character,,11,167,177,,,,,
STATENM,STATENM,character,,19,7,25,,,,,
PRACTICE,P528A,CHAR,,1,49,49,,,,,
PRACTICE,N528A,CHAR,,1,51,51,,,,,
